aid,actor_name,movie_credits,popularity
18792,Delroy Lindo,44,1.749204
3137,Paul Calderon,31,1.165896
21532,Samuel Ball,12,0.566246
21533,Jeremy Childs,11,0.000162
21535,George W. Scott,2,0.01512
5365,Clifton Collins Jr,56,1.740308
17093,Eduardo Noriega,44,1.652889
17094,Federico Luppi,66,1.099995
954,Marisa Paredes,55,3.214837
17095,Fernando Tielve,14,1.034437
17096,Íñigo Garcés,2,0.000144
17097,Irene Visedo,9,0.022047
17098,José Manuel Lorenzo,3,0
1605,Francisco Maestre,17,2.4e-05
17099,Junio Valverde,10,1e-06
17100,Berta Ojea,12,0.000209
13922,Seth Green,76,4.681797
33654,Breckin Meyer,40,1.042795
20189,Amy Smart,55,15.864691
8930,John Cleese,129,4.193234
4201,Wayne Knight,31,2.681911
58381,Vince Vieluf,9,0.057007
206202,Lanei Chapman,3,0.00047
16165,Jon Lovitz,66,3.084413
3036,John Cusack,90,9.046926
12799,Jeremy Piven,63,1.964598
18354,Bridget Moynahan,19,5.664698
26510,Eugene Levy,60,1.167072
59165,Lilli Lavine,1,0.8
59166,Michael Guarino Jr.,1,5e-06
59167,Abdul Alshawish,1,0.896
59170,Stephen Bruce,1,0.041193
36816,David Sparrow,13,0.000973
15555,Piper Perabo,30,2.569328
82096,Jessica Paré,20,1.0407
11617,Mischa Barton,47,1.182293
61185,Jackie Burroughs,37,0.055031
65471,Mimi Kuzyk,38,0.199411
6804,Graham Greene,74,1.642789
84247,Emily VanCamp,16,2.756572
27561,Amy Stewart,8,0.000318
31383,Caroline Dhavernas,33,0.722186
7002,Luke Kirby,16,2.635312
56356,Gina Philips,21,2.476445
15033,Justin Long,60,4.715612
56357,Jonathan Breck,10,1.881617
56358,Patricia Belcher,21,0.724248
39015,Eileen Brennan,52,1.634123
36637,Brandon Smith,21,0
955065,Peggy Sheffield,3,0.004304
215118,Jeffrey William Evans,1,0
943484,Patrick Cherry,2,0.192
948289,Jon Beshara,1,6e-06
158165,Rickey D'Shon Collins,7,0.001257
166818,Jason Davis,7,0.556
129388,Ashley Johnson,3,0.000343
55961,Courtland Mead,12,0.002351
21063,Pamela Adlon,46,2.649452
12850,Dabney Coleman,71,4.243886
128621,Robert Goulet,23,1e-05
78501,Melissa Joan Hart,30,2.411321
60741,April Winchell,28,0.324997
16479,Andrew Lawrence,19,0.028367
2228,Sean Penn,75,4.786484
1160,Michelle Pfeiffer,55,6.411395
1902,Dianne Wiest,44,3.659183
501,Dakota Fanning,46,5.735461
31028,Richard Schiff,55,1.532369
18284,Loretta Devine,59,0.649537
65760,Marin Hinkle,29,2.052679
4784,Laura Dern,77,5.161533
1235193,Brad Silverman,1,0.0504
1407026,Joseph Rosenberg,1,2e-06
1336,Jet Li,59,9.315978
10698,Tchéky Karyo,89,3.597567
21942,Max Ryan,13,0.00195
11397,Ric Young,16,0.824076
21944,Burt Kwouk,42,0.000724
21945,Laurence Ashley,2,0.0108
21946,Cyril Raffaelli,8,1.808836
1847200,Didier Azoulay,1,0.01404
61584,John Forgeham,14,0.000277
2888,Will Smith,51,11.89547
134,Jamie Foxx,57,7.150918
16214,Mario Van Peebles,56,2.772847
21399,Ron Silver,56,1.099802
2954,Jeffrey Wright,51,3.829662
34,Mykelti Williamson,41,2.291486
9575,Jada Pinkett Smith,35,4.086938
18286,Nona Gaye,10,1.655346
39977,Michael Michele,8,0.050121
5344,Meg Ryan,38,4.480046
23626,Liev Schreiber,102,6.270963
11367,Bradley Whitford,52,1.850216
129996,Paxton Whitehead,13,0.063504
8978,Spalding Gray,36,0.027671
21882,Josh Stamberg,10,0.223137
159869,Matthew Sussman,4,0.021425
976,Jason Statham,50,19.039751
62003,James Morrison,10,0.031056
52476,Dylan Bruno,12,0.434155
129124,Richard Steinmetz,4,8e-06
10137,Steve Rankin,9,0.000249
92777,Tucker Smallwood,16,8e-06
538,Harriet Sansom Harris,14,0.311793
1269,Kevin Costner,67,10.280674
14405,Courteney Cox,35,6.498194
2224,Christian Slater,89,6.505351
7166,Kevin Pollak,88,4.06527
15234,David Arquette,66,2.146442
126418,Howie Long,4,1.5e-05
19159,Thomas Haden Church,39,2.42954
71913,Bokeem Woodbine,47,4.397191
9205,Denise Richards,44,6.187152
25934,David Boreanaz,13,2.567576
6407,Marley Shelton,43,2.168031
2205,Jessica Capshaw,8,0.81184
25541,Katherine Heigl,37,6.691776
41558,Hedy Burress,14,3.9e-05
65808,Fulvio Cecere,29,0.551797
203511,Daniel Cosgrove,6,0.000658
73589,Johnny Whitworth,23,1.380524
28472,Adam Garcia,15,1.390795
328,Brittany Murphy,42,4.689038
33235,Logan Lerman,25,6.188052
21620,Susan Forristal,8,0
11478,Lorraine Bracco,33,3.622869
142293,Marisa Ryan,12,0.559299
78029,Martin Lawrence,35,6.089166
36219,Marsha Thomason,10,0.827982
9831,Vincent Regan,38,3.126927
15028,Daryl Mitchell,13,0.021272
121939,Michael Countryman,10,0.000161
27116,Kevin Conway,33,0.218158
71824,Erik Jensen,9,0.16536
94627,Isabell O'Connor,7,0.4
1614360,John Cronin,7,1.1e-05
3910,Frances McDormand,51,4.835713
1010,Michael Badalucco,33,0.585403
1245,Scarlett Johansson,66,17.989818
4253,Jon Polito,65,0.920737
28633,Richard Jenkins,86,3.624219
170185,Gregg Binkley,15,0.0108
2975,Laurence Fishburne,93,9.757987
11076,David Hyde Pierce,35,1.142546
33285,Brandy Norwood,9,1.563443
28640,Molly Shannon,66,1.542048
1748,William Shatner,128,3.092205
6159,Ron Howard,37,4.438827
214701,Sherry Lynn,70,0.037234
84493,Mickie McGowan,55,0.024422
16927,Gérard Depardieu,191,5.165931
19866,Guillaume Canet,51,0.422894
37918,Inés Sastre,13,0.004773
18177,André Dussollier,97,1.129086
27980,Edith Scob,62,0.435543
20532,Moussa Maaskri,34,0.8
41206,Jean-Pierre Gos,16,6e-05
6548,Isabelle Renauld,24,0.000599
32949,Jean-Pol Dubois,14,0.07056
35085,André Penvern,30,0.022147
2956,Amanda Peet,43,6.474064
19275,Amanda Detmer,18,0.724584
8655,R. Lee Ermey,59,2.382261
69669,Neil Diamond,9,0.1776
22297,Kyle Gass,23,0.072927
946293,Christopher Logan,1,0.058972
158567,Stephen Chang,10,0.000137
2882,Diane Lane,63,18.748686
1640,Stellan Skarsgård,117,5.355799
