did,director_name,movie_credits,popularity
1071,Tom Tykwer,51,1.426933
1027737,Robin Budd,2,0.021168
1027738,Donovan Cook,2,0.000542
69416,Bradley Raymond,11,1.547546
11037,Lukas Moodysson,20,0.013154
39819,Wayne Wang,31,1e-06
66654,Kevin Donovan,3,0.004212
68573,Walt Becker,6,0.00264
13235,Alexander Payne,33,1.063209
13581,Brian Levant,21,0.111593
56710,Oliver Parker,18,0.519858
67781,Peter Kosminsky,14,0.000392
66718,Alan Mak,29,0.013888
65994,Andrew Lau,76,0.711957
11676,Mark Pellington,21,1.8e-05
64877,Rod Daniel,10,0.002321
21879,Simon Wells,8,0.14583
57581,Neil Marshall,17,0.134754
90638,Phil Weinstein,8,0.004075
56150,Ellory Elkayem,8,0.001005
12523,Rob Bowman,5,0.538536
40223,Joe Carnahan,30,1.021364
1461,George Clooney,34,8.012613
323,Curtis Hanson,33,0.498134
28239,David Twohy,29,0.718912
54644,Joel Zwick,4,0.000202
67795,Steven Shainberg,15,0.000368
66512,Tom Brady,6,0.000475
51959,John Kafka,4,0.12
4499,Tom Shadyac,19,0.289467
31024,Betty Thomas,15,0.677734
3115,Andrzej Sekula,24,1.5e-05
32593,Steven Brill,18,0.694464
56851,Victor Cook,11,1.15617
97180,Steve Loter,7,0.126284
172984,Don MacKinnon,4,0.0108
74647,Keith Fulton,6,0.034154
106537,Louis Pepe,6,0.12
113641,Dewey Nicks,1,0.32928
2460,Randall Wallace,14,0.001439
57446,Mark Romanek,15,0.088014
51917,Larry Clark,20,0.198155
6345,Edward Lachman,45,0.000294
16391,Julie Taymor,12,0.030734
57199,Mark Mylod,3,0.031097
51534,Lucky McKee,22,0.048378
190,Clint Eastwood,81,9.631775
12989,Andrew Davis,25,1.52724
15045,Michael Lembeck,9,0.656474
17397,Callie Khouri,8,2e-05
7397,Ed Decter,9,0.096108
58245,Don Coscarelli,44,0.001338
1524,Harold Ramis,38,2.625432
54040,John Lee Hancock,12,0.018047
11401,John Woo,78,0.85367
2523,Stuart Baird,31,0.031905
1150,Brian De Palma,61,1.457761
224,David Cronenberg,58,1.267188
54525,Jaume Balagueró,29,0.155044
80215,Charles Stone III,8,0.168
4762,Paul Thomas Anderson,44,1.196282
15337,John Polson,5,1.445083
14392,Kathryn Bigelow,25,1.500533
20640,Chen Kaige,26,1e-05
122967,Craig McCracken,15,0.001908
1058,Bob Gale,28,0.362067
17812,Gregory Hoblit,12,0.041201
518,Danny DeVito,32,5.126481
11873,Roger Kumble,10,0.049974
7017,Roger Michell,18,0.534466
57898,William Malone,14,0.4
17167,Andy Tennant,19,0.000592
37630,Shekhar Kapur,10,0.004514
1090,John McTiernan,16,1.300755
172,Michael Winterbottom,48,0.108805
65133,Marcus Raboy,34,7.2e-05
